ID,Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year,Price
227,Home Office,France,Headphones,Medium,96,233,1127,108192,10819.2,97372.8,22368,75004.8,8/15/2023,8,August,2023,1127
228,Consumer,France,Laptop,High,97,64,441,42777,8555.4,34221.6,6208,28013.6,8/16/2023,8,August,2023,441
229,Corporate,Germany,Tablet,Low,1,206,1064,1064,53.2,1010.8,206,804.8,8/17/2023,8,August,2023,1064
230,Home Office,United States,Tablet,High,19,185,201,3819,763.8,3055.2,3515,-459.8,8/18/2023,8,August,2023,201
231,Consumer,United States,Laptop,High,2,54,424,848,169.6,678.4,108,570.4,8/19/2023,8,August,2023,424
232,Corporate,United Kingdom,Laptop,Medium,53,206,1000,53000,5300,47700,10918,36782,8/20/2023,8,August,2023,1000
233,Corporate,Germany,Monitor,Medium,44,96,944,41536,4153.6,37382.4,4224,33158.4,8/21/2023,8,August,2023,944
234,Consumer,Italy,Tablet,Low,90,117,1172,105480,5274,100206,10530,89676,8/22/2023,8,August,2023,1172
235,Home Office,France,Monitor,Low,32,125,1125,36000,1800,34200,4000,30200,8/23/2023,8,August,2023,1125
236,Corporate,Italy,Smartphone,High,70,222,1128,78960,15792,63168,15540,47628,8/24/2023,8,August,2023,1128
237,Corporate,United States,Smartphone,Low,32,179,788,25216,1260.8,23955.2,5728,18227.2,8/25/2023,8,August,2023,788
238,Consumer,United States,Laptop,High,68,204,315,21420,4284,17136,13872,3264,8/26/2023,8,August,2023,315
239,Home Office,Italy,Monitor,Low,55,144,865,47575,2378.75,45196.25,7920,37276.25,8/27/2023,8,August,2023,865
240,Corporate,Italy,Laptop,High,75,164,1117,83775,16755,67020,12300,54720,8/28/2023,8,August,2023,1117
241,Corporate,Italy,Headphones,Low,56,292,302,16912,845.6,16066.4,16352,-285.6,8/29/2023,8,August,2023,302
242,Corporate,United States,Headphones,Low,17,213,393,6681,334.05,6346.95,3621,2725.95,8/30/2023,8,August,2023,393
243,Home Office,Italy,Headphones,High,38,85,365,13870,2774,11096,3230,7866,8/31/2023,8,August,2023,365
244,Corporate,United Kingdom,Tablet,Low,24,75,1070,25680,1284,24396,1800,22596,9/1/2023,9,September,2023,1070
245,Corporate,Germany,Smartphone,Low,69,92,289,19941,997.05,18943.95,6348,12595.95,9/2/2023,9,September,2023,289
246,Corporate,Germany,Laptop,High,98,76,885,86730,17346,69384,7448,61936,9/3/2023,9,September,2023,885
247,Corporate,United Kingdom,Tablet,Low,70,118,321,22470,1123.5,21346.5,8260,13086.5,9/4/2023,9,September,2023,321
248,Consumer,United Kingdom,Monitor,Medium,86,197,342,29412,2941.2,26470.8,16942,9528.8,9/5/2023,9,September,2023,342
249,Corporate,Germany,Headphones,High,11,60,1193,13123,2624.6,10498.4,660,9838.4,9/6/2023,9,September,2023,1193
250,Home Office,Italy,Monitor,Low,16,123,305,4880,244,4636,1968,2668,9/7/2023,9,September,2023,305
251,Consumer,United States,Headphones,Medium,97,153,1086,105342,10534.2,94807.8,14841,79966.8,9/8/2023,9,September,2023,1086
252,Corporate,United Kingdom,Laptop,Medium,73,87,627,45771,4577.1,41193.9,6351,34842.9,9/9/2023,9,September,2023,627
253,Consumer,United Kingdom,Headphones,Medium,59,183,504,29736,2973.6,26762.4,10797,15965.4,9/10/2023,9,September,2023,504
254,Home Office,Germany,Monitor,Medium,70,249,1071,74970,7497,67473,17430,50043,9/11/2023,9,September,2023,1071
255,Home Office,Italy,Headphones,Medium,80,72,1170,93600,9360,84240,5760,78480,9/12/2023,9,September,2023,1170
256,Home Office,United States,Laptop,Low,93,96,516,47988,2399.4,45588.6,8928,36660.6,9/13/2023,9,September,2023,516
257,Corporate,Germany,Tablet,Medium,3,139,1162,3486,348.6,3137.4,417,2720.4,9/14/2023,9,September,2023,1162
258,Corporate,France,Monitor,Low,20,95,834,16680,834,15846,1900,13946,9/15/2023,9,September,2023,834
259,Home Office,United States,Monitor,High,59,156,1101,64959,12991.8,51967.2,9204,42763.2,9/16/2023,9,September,2023,1101
260,Consumer,United States,Monitor,Medium,36,189,208,7488,748.8,6739.2,6804,-64.8,9/17/2023,9,September,2023,208
261,Corporate,Germany,Laptop,High,19,267,973,18487,3697.4,14789.6,5073,9716.6,9/18/2023,9,September,2023,973
262,Consumer,Germany,Tablet,High,90,190,272,24480,4896,19584,17100,2484,9/19/2023,9,September,2023,272
263,Consumer,United States,Laptop,Medium,67,153,558,37386,3738.6,33647.4,10251,23396.4,9/20/2023,9,September,2023,558
264,Corporate,Germany,Monitor,Medium,19,239,422,8018,801.8,7216.2,4541,2675.2,9/21/2023,9,September,2023,422
265,Corporate,United States,Smartphone,Low,20,259,615,12300,615,11685,5180,6505,9/22/2023,9,September,2023,615
266,Corporate,United Kingdom,Headphones,Medium,96,266,752,72192,7219.2,64972.8,25536,39436.8,9/23/2023,9,September,2023,752
267,Home Office,United Kingdom,Tablet,Medium,71,274,569,40399,4039.9,36359.1,19454,16905.1,9/24/2023,9,September,2023,569
268,Corporate,Italy,Laptop,High,52,160,915,47580,9516,38064,8320,29744,9/25/2023,9,September,2023,915
269,Corporate,France,Headphones,Medium,33,153,463,15279,1527.9,13751.1,5049,8702.1,9/26/2023,9,September,2023,463
270,Corporate,France,Tablet,Medium,40,109,1039,41560,4156,37404,4360,33044,9/27/2023,9,September,2023,1039
271,Corporate,United Kingdom,Tablet,Medium,39,220,889,34671,3467.1,31203.9,8580,22623.9,9/28/2023,9,September,2023,889
272,Home Office,Italy,Laptop,Low,82,253,1059,86838,4341.9,82496.1,20746,61750.1,9/29/2023,9,September,2023,1059
273,Corporate,United States,Smartphone,Medium,1,285,517,517,51.7,465.3,285,180.3,9/30/2023,9,September,2023,517
274,Home Office,France,Laptop,Low,11,149,283,3113,155.65,2957.35,1639,1318.35,10/1/2023,10,October,2023,283
275,Corporate,Italy,Tablet,Low,92,289,517,47564,2378.2,45185.8,26588,18597.8,10/2/2023,10,October,2023,517
276,Home Office,United Kingdom,Monitor,Low,57,117,310,17670,883.5,16786.5,6669,10117.5,10/3/2023,10,October,2023,310
277,Consumer,Germany,Laptop,Low,89,182,450,40050,2002.5,38047.5,16198,21849.5,10/4/2023,10,October,2023,450
278,Corporate,United States,Headphones,Medium,50,169,582,29100,2910,26190,8450,17740,10/5/2023,10,October,2023,582
279,Consumer,France,Headphones,Low,23,86,206,4738,236.9,4501.1,1978,2523.1,10/6/2023,10,October,2023,206
280,Corporate,United Kingdom,Headphones,High,31,121,658,20398,4079.6,16318.4,3751,12567.4,10/7/2023,10,October,2023,658
281,Corporate,France,Tablet,Low,94,176,283,26602,1330.1,25271.9,16544,8727.9,10/8/2023,10,October,2023,283
282,Home Office,Germany,Smartphone,High,42,155,407,17094,3418.8,13675.2,6510,7165.2,10/9/2023,10,October,2023,407
283,Home Office,Germany,Tablet,Medium,99,290,1099,108801,10880.1,97920.9,28710,69210.9,10/10/2023,10,October,2023,1099
284,Consumer,United States,Tablet,Medium,7,141,589,4123,412.3,3710.7,987,2723.7,10/11/2023,10,October,2023,589
285,Home Office,United States,Headphones,Medium,16,80,513,8208,820.8,7387.2,1280,6107.2,10/12/2023,10,October,2023,513
286,Consumer,Italy,Monitor,Medium,90,171,221,19890,1989,17901,15390,2511,10/13/2023,10,October,2023,221
287,Corporate,United States,Smartphone,High,60,186,609,36540,7308,29232,11160,18072,10/14/2023,10,October,2023,609
288,Home Office,Italy,Smartphone,Low,2,295,1094,2188,109.4,2078.6,590,1488.6,10/15/2023,10,October,2023,1094
289,Home Office,United Kingdom,Tablet,High,1,100,714,714,142.8,571.2,100,471.2,10/16/2023,10,October,2023,714
290,Corporate,United States,Laptop,High,48,78,326,15648,3129.6,12518.4,3744,8774.4,10/17/2023,10,October,2023,326
291,Home Office,Italy,Smartphone,Low,12,255,1008,12096,604.8,11491.2,3060,8431.2,10/18/2023,10,October,2023,1008
292,Home Office,France,Laptop,Medium,69,89,899,62031,6203.1,55827.9,6141,49686.9,10/19/2023,10,October,2023,899
293,Consumer,France,Smartphone,High,37,90,1073,39701,7940.2,31760.8,3330,28430.8,10/20/2023,10,October,2023,1073
294,Home Office,France,Smartphone,Medium,32,263,213,6816,681.6,6134.4,8416,-2281.6,10/21/2023,10,October,2023,213
295,Consumer,France,Laptop,Medium,9,60,1170,10530,1053,9477,540,8937,10/22/2023,10,October,2023,1170
296,Consumer,Germany,Tablet,Medium,99,200,1177,116523,11652.3,104870.7,19800,85070.7,10/23/2023,10,October,2023,1177
297,Consumer,France,Headphones,High,19,50,211,4009,801.8,3207.2,950,2257.2,10/24/2023,10,October,2023,211
298,Home Office,United Kingdom,Monitor,Low,48,95,286,13728,686.4,13041.6,4560,8481.6,10/25/2023,10,October,2023,286
299,Home Office,Italy,Laptop,Medium,80,150,723,57840,5784,52056,12000,40056,10/26/2023,10,October,2023,723
300,Home Office,Italy,Laptop,High,3,198,1108,3324,664.8,2659.2,594,2065.2,10/27/2023,10,October,2023,1108
301,Corporate,United Kingdom,Tablet,High,20,139,736,14720,2944,11776,2780,8996,10/28/2023,10,October,2023,736
302,Corporate,France,Monitor,Low,24,159,500,12000,600,11400,3816,7584,10/29/2023,10,October,2023,500
303,Home Office,France,Laptop,Medium,54,213,442,23868,2386.8,21481.2,11502,9979.2,10/30/2023,10,October,2023,442
304,Consumer,France,Laptop,High,33,231,321,10593,2118.6,8474.4,7623,851.4,10/31/2023,10,October,2023,321
305,Home Office,United Kingdom,Monitor,Low,24,264,346,8304,415.2,7888.8,6336,1552.8,11/1/2023,11,November,2023,346
306,Consumer,France,Smartphone,Low,75,106,766,57450,2872.5,54577.5,7950,46627.5,11/2/2023,11,November,2023,766
307,Home Office,Germany,Headphones,Low,72,50,949,68328,3416.4,64911.6,3600,61311.6,11/3/2023,11,November,2023,949
308,Consumer,Germany,Laptop,Medium,36,112,555,19980,1998,17982,4032,13950,11/4/2023,11,November,2023,555
309,Corporate,France,Monitor,Medium,38,231,884,33592,3359.2,30232.8,8778,21454.8,11/5/2023,11,November,2023,884
310,Consumer,United States,Laptop,Low,84,104,1103,92652,4632.6,88019.4,8736,79283.4,11/6/2023,11,November,2023,1103
311,Consumer,France,Smartphone,Medium,99,164,932,92268,9226.8,83041.2,16236,66805.2,11/7/2023,11,November,2023,932
312,Home Office,Italy,Headphones,High,89,217,830,73870,14774,59096,19313,39783,11/8/2023,11,November,2023,830
313,Consumer,United Kingdom,Smartphone,Medium,99,192,508,50292,5029.2,45262.8,19008,26254.8,11/9/2023,11,November,2023,508
314,Corporate,Germany,Headphones,Low,25,198,894,22350,1117.5,21232.5,4950,16282.5,11/10/2023,11,November,2023,894
315,Corporate,Germany,Smartphone,High,93,224,487,45291,9058.2,36232.8,20832,15400.8,11/11/2023,11,November,2023,487
316,Consumer,Germany,Laptop,Medium,18,250,506,9108,910.8,8197.2,4500,3697.2,11/12/2023,11,November,2023,506
317,Corporate,Germany,Monitor,Low,82,102,1011,82902,4145.1,78756.9,8364,70392.9,11/13/2023,11,November,2023,1011
318,Corporate,United States,Laptop,Low,66,186,793,52338,2616.9,49721.1,12276,37445.1,11/14/2023,11,November,2023,793
319,Corporate,Italy,Laptop,High,54,251,1165,62910,12582,50328,13554,36774,11/15/2023,11,November,2023,1165
320,Corporate,France,Laptop,Medium,35,229,1113,38955,3895.5,35059.5,8015,27044.5,11/16/2023,11,November,2023,1113
321,Home Office,Italy,Laptop,Low,80,106,922,73760,3688,70072,8480,61592,11/17/2023,11,November,2023,922
322,Corporate,Italy,Tablet,High,61,166,861,52521,10504.2,42016.8,10126,31890.8,11/18/2023,11,November,2023,861
323,Consumer,France,Headphones,Low,41,203,748,30668,1533.4,29134.6,8323,20811.6,11/19/2023,11,November,2023,748
324,Consumer,United Kingdom,Monitor,High,33,218,551,18183,3636.6,14546.4,7194,7352.4,11/20/2023,11,November,2023,551
325,Home Office,United Kingdom,Tablet,High,68,84,511,34748,6949.6,27798.4,5712,22086.4,11/21/2023,11,November,2023,511
326,Corporate,Germany,Monitor,Low,33,112,1072,35376,1768.8,33607.2,3696,29911.2,11/22/2023,11,November,2023,1072
327,Corporate,Italy,Monitor,High,14,293,258,3612,722.4,2889.6,4102,-1212.4,11/23/2023,11,November,2023,258
328,Home Office,Germany,Headphones,High,21,74,842,17682,3536.4,14145.6,1554,12591.6,11/24/2023,11,November,2023,842
329,Consumer,France,Smartphone,Low,48,139,1123,53904,2695.2,51208.8,6672,44536.8,11/25/2023,11,November,2023,1123
330,Home Office,France,Laptop,Low,20,124,913,18260,913,17347,2480,14867,11/26/2023,11,November,2023,913
331,Corporate,United Kingdom,Monitor,Low,8,87,954,7632,381.6,7250.4,696,6554.4,11/27/2023,11,November,2023,954
332,Consumer,Germany,Monitor,Low,7,179,234,1638,81.9,1556.1,1253,303.1,11/28/2023,11,November,2023,234
333,Home Office,Italy,Monitor,High,67,184,644,43148,8629.6,34518.4,12328,22190.4,11/29/2023,11,November,2023,644
334,Consumer,Italy,Monitor,High,17,259,292,4964,992.8,3971.2,4403,-431.8,11/30/2023,11,November,2023,292
335,Corporate,Italy,Smartphone,Medium,33,268,1149,37917,3791.7,34125.3,8844,25281.3,12/1/2023,12,December,2023,1149
336,Corporate,Italy,Smartphone,High,48,211,1158,55584,11116.8,44467.2,10128,34339.2,12/2/2023,12,December,2023,1158
337,Corporate,United States,Tablet,Low,76,140,406,30856,1542.8,29313.2,10640,18673.2,12/3/2023,12,December,2023,406
338,Consumer,United States,Headphones,Low,59,66,552,32568,1628.4,30939.6,3894,27045.6,12/4/2023,12,December,2023,552
339,Corporate,Italy,Tablet,High,86,177,1102,94772,18954.4,75817.6,15222,60595.6,12/5/2023,12,December,2023,1102
340,Consumer,United Kingdom,Headphones,High,22,220,531,11682,2336.4,9345.6,4840,4505.6,12/6/2023,12,December,2023,531
341,Consumer,Italy,Headphones,Low,30,236,1016,30480,1524,28956,7080,21876,12/7/2023,12,December,2023,1016
342,Home Office,France,Laptop,Low,38,157,1061,40318,2015.9,38302.1,5966,32336.1,12/8/2023,12,December,2023,1061
343,Home Office,Germany,Tablet,High,51,228,924,47124,9424.8,37699.2,11628,26071.2,12/9/2023,12,December,2023,924
344,Corporate,Germany,Headphones,Low,54,231,358,19332,966.6,18365.4,12474,5891.4,12/10/2023,12,December,2023,358
345,Home Office,Italy,Smartphone,Medium,8,201,1153,9224,922.4,8301.6,1608,6693.6,12/11/2023,12,December,2023,1153
346,Consumer,United Kingdom,Laptop,Low,27,74,1156,31212,1560.6,29651.4,1998,27653.4,12/12/2023,12,December,2023,1156
347,Corporate,Italy,Laptop,High,27,248,223,6021,1204.2,4816.8,6696,-1879.2,12/13/2023,12,December,2023,223
348,Corporate,France,Laptop,High,98,229,603,59094,11818.8,47275.2,22442,24833.2,12/14/2023,12,December,2023,603
349,Corporate,United Kingdom,Smartphone,Low,21,247,1004,21084,1054.2,20029.8,5187,14842.8,12/15/2023,12,December,2023,1004
350,Corporate,Italy,Smartphone,Medium,30,294,715,21450,2145,19305,8820,10485,12/16/2023,12,December,2023,715
351,Consumer,France,Smartphone,Low,97,137,931,90307,4515.35,85791.65,13289,72502.65,12/17/2023,12,December,2023,931
352,Consumer,Italy,Tablet,High,28,210,563,15764,3152.8,12611.2,5880,6731.2,12/18/2023,12,December,2023,563
353,Consumer,Germany,Laptop,Medium,64,226,581,37184,3718.4,33465.6,14464,19001.6,12/19/2023,12,December,2023,581
354,Corporate,United States,Tablet,Medium,97,78,731,70907,7090.7,63816.3,7566,56250.3,12/20/2023,12,December,2023,731
355,Home Office,United Kingdom,Smartphone,Medium,69,112,1155,79695,7969.5,71725.5,7728,63997.5,12/21/2023,12,December,2023,1155
356,Corporate,France,Headphones,Low,61,284,351,21411,1070.55,20340.45,17324,3016.45,12/22/2023,12,December,2023,351
357,Corporate,United Kingdom,Smartphone,Low,48,199,761,36528,1826.4,34701.6,9552,25149.6,12/23/2023,12,December,2023,761
358,Consumer,France,Tablet,Low,19,203,888,16872,843.6,16028.4,3857,12171.4,12/24/2023,12,December,2023,888
359,Corporate,United States,Laptop,Medium,4,205,1146,4584,458.4,4125.6,820,3305.6,12/25/2023,12,December,2023,1146
360,Corporate,France,Laptop,Medium,35,163,807,28245,2824.5,25420.5,5705,19715.5,12/26/2023,12,December,2023,807
361,Home Office,Italy,Headphones,High,64,262,816,52224,10444.8,41779.2,16768,25011.2,12/27/2023,12,December,2023,816
362,Consumer,United Kingdom,Tablet,High,49,98,619,30331,6066.2,24264.8,4802,19462.8,12/28/2023,12,December,2023,619
363,Consumer,France,Monitor,Low,17,248,449,7633,381.65,7251.35,4216,3035.35,12/29/2023,12,December,2023,449
364,Consumer,France,Monitor,Medium,44,130,316,13904,1390.4,12513.6,5720,6793.6,12/30/2023,12,December,2023,316
365,Consumer,France,Smartphone,Low,92,133,1065,97980,4899,93081,12236,80845,12/31/2023,12,December,2023,1065
366,Consumer,Germany,Tablet,Low,30,154,711,21330,1066.5,20263.5,4620,15643.5,1/1/2024,1,January,2024,711
367,Corporate,United States,Laptop,Medium,93,226,939,87327,8732.7,78594.3,21018,57576.3,1/2/2024,1,January,2024,939
368,Corporate,United States,Smartphone,Medium,46,197,777,35742,3574.2,32167.8,9062,23105.8,1/3/2024,1,January,2024,777
369,Consumer,Italy,Monitor,Low,6,167,534,3204,160.2,3043.8,1002,2041.8,1/4/2024,1,January,2024,534
370,Corporate,France,Monitor,Low,99,135,617,61083,3054.15,58028.85,13365,44663.85,1/5/2024,1,January,2024,617
371,Corporate,Germany,Laptop,Medium,37,269,1131,41847,4184.7,37662.3,9953,27709.3,1/6/2024,1,January,2024,1131
372,Consumer,Italy,Laptop,Medium,24,112,973,23352,2335.2,21016.8,2688,18328.8,1/7/2024,1,January,2024,973
373,Corporate,United States,Tablet,High,93,238,494,45942,9188.4,36753.6,22134,14619.6,1/8/2024,1,January,2024,494
374,Corporate,United Kingdom,Headphones,High,46,153,1137,52302,10460.4,41841.6,7038,34803.6,1/9/2024,1,January,2024,1137
375,Home Office,Italy,Smartphone,Low,53,98,954,50562,2528.1,48033.9,5194,42839.9,1/10/2024,1,January,2024,954
376,Consumer,United States,Smartphone,Low,95,120,570,54150,2707.5,51442.5,11400,40042.5,1/11/2024,1,January,2024,570
377,Corporate,Germany,Smartphone,Low,99,50,385,38115,1905.75,36209.25,4950,31259.25,1/12/2024,1,January,2024,385
378,Corporate,France,Laptop,Medium,60,273,445,26700,2670,24030,16380,7650,1/13/2024,1,January,2024,445
379,Consumer,United States,Smartphone,Low,97,190,836,81092,4054.6,77037.4,18430,58607.4,1/14/2024,1,January,2024,836
380,Home Office,France,Laptop,Low,63,271,467,29421,1471.05,27949.95,17073,10876.95,1/15/2024,1,January,2024,467
381,Corporate,United States,Headphones,High,85,264,842,71570,14314,57256,22440,34816,1/16/2024,1,January,2024,842
382,Consumer,United Kingdom,Monitor,Medium,32,228,436,13952,1395.2,12556.8,7296,5260.8,1/17/2024,1,January,2024,436
383,Consumer,United Kingdom,Monitor,Low,87,172,729,63423,3171.15,60251.85,14964,45287.85,1/18/2024,1,January,2024,729
384,Home Office,Germany,Monitor,Medium,33,233,751,24783,2478.3,22304.7,7689,14615.7,1/19/2024,1,January,2024,751
385,Home Office,Germany,Headphones,Medium,67,260,220,14740,1474,13266,17420,-4154,1/20/2024,1,January,2024,220
386,Consumer,United Kingdom,Monitor,Medium,18,111,1110,19980,1998,17982,1998,15984,1/21/2024,1,January,2024,1110
387,Consumer,United States,Tablet,Medium,25,81,936,23400,2340,21060,2025,19035,1/22/2024,1,January,2024,936
388,Home Office,France,Tablet,High,95,207,1066,101270,20254,81016,19665,61351,1/23/2024,1,January,2024,1066
389,Corporate,Germany,Smartphone,High,54,78,993,53622,10724.4,42897.6,4212,38685.6,1/24/2024,1,January,2024,993
390,Home Office,United Kingdom,Monitor,Low,58,98,719,41702,2085.1,39616.9,5684,33932.9,1/25/2024,1,January,2024,719
391,Corporate,France,Monitor,Medium,67,222,299,20033,2003.3,18029.7,14874,3155.7,1/26/2024,1,January,2024,299
392,Consumer,United States,Monitor,Medium,46,270,951,43746,4374.6,39371.4,12420,26951.4,1/27/2024,1,January,2024,951
393,Consumer,France,Tablet,High,24,79,677,16248,3249.6,12998.4,1896,11102.4,1/28/2024,1,January,2024,677
394,Corporate,United Kingdom,Tablet,Medium,32,193,798,25536,2553.6,22982.4,6176,16806.4,1/29/2024,1,January,2024,798
395,Home Office,United States,Headphones,High,47,217,497,23359,4671.8,18687.2,10199,8488.2,1/30/2024,1,January,2024,497
396,Home Office,France,Tablet,Medium,86,68,1139,97954,9795.4,88158.6,5848,82310.6,1/31/2024,1,January,2024,1139
397,Corporate,United States,Smartphone,Low,23,67,725,16675,833.75,15841.25,1541,14300.25,2/1/2024,2,February,2024,725
398,Consumer,Italy,Headphones,High,66,50,533,35178,7035.6,28142.4,3300,24842.4,2/2/2024,2,February,2024,533
399,Home Office,Italy,Tablet,Medium,27,127,201,5427,542.7,4884.3,3429,1455.3,2/3/2024,2,February,2024,201
400,Corporate,Italy,Smartphone,High,2,164,574,1148,229.6,918.4,328,590.4,2/4/2024,2,February,2024,574
401,Home Office,France,Laptop,Low,90,224,492,44280,2214,42066,20160,21906,2/5/2024,2,February,2024,492
402,Home Office,France,Headphones,Medium,17,291,1036,17612,1761.2,15850.8,4947,10903.8,2/6/2024,2,February,2024,1036
403,Consumer,United Kingdom,Smartphone,Medium,33,243,1133,37389,3738.9,33650.1,8019,25631.1,2/7/2024,2,February,2024,1133
404,Consumer,United Kingdom,Tablet,Low,9,295,752,6768,338.4,6429.6,2655,3774.6,2/8/2024,2,February,2024,752
405,Home Office,United Kingdom,Smartphone,Medium,43,269,517,22231,2223.1,20007.9,11567,8440.9,2/9/2024,2,February,2024,517
406,Consumer,Italy,Monitor,Medium,48,162,701,33648,3364.8,30283.2,7776,22507.2,2/10/2024,2,February,2024,701
407,Corporate,France,Headphones,Medium,39,163,1027,40053,4005.3,36047.7,6357,29690.7,2/11/2024,2,February,2024,1027
408,Home Office,France,Smartphone,High,93,271,580,53940,10788,43152,25203,17949,2/12/2024,2,February,2024,580
409,Home Office,Germany,Headphones,High,42,215,822,34524,6904.8,27619.2,9030,18589.2,2/13/2024,2,February,2024,822
410,Corporate,United Kingdom,Headphones,High,26,228,213,5538,1107.6,4430.4,5928,-1497.6,2/14/2024,2,February,2024,213
411,Corporate,United States,Laptop,Medium,99,112,703,69597,6959.7,62637.3,11088,51549.3,2/15/2024,2,February,2024,703
412,Corporate,France,Tablet,Low,50,181,430,21500,1075,20425,9050,11375,2/16/2024,2,February,2024,430
413,Corporate,United States,Laptop,High,25,178,1184,29600,5920,23680,4450,19230,2/17/2024,2,February,2024,1184
414,Home Office,Germany,Headphones,Low,24,57,283,6792,339.6,6452.4,1368,5084.4,2/18/2024,2,February,2024,283
415,Corporate,Italy,Smartphone,High,13,206,329,4277,855.4,3421.6,2678,743.6,2/19/2024,2,February,2024,329
416,Corporate,Italy,Laptop,Low,60,104,942,56520,2826,53694,6240,47454,2/20/2024,2,February,2024,942
417,Home Office,Italy,Laptop,Medium,7,152,1037,7259,725.9,6533.1,1064,5469.1,2/21/2024,2,February,2024,1037
418,Home Office,Germany,Monitor,Medium,57,180,344,19608,1960.8,17647.2,10260,7387.2,2/22/2024,2,February,2024,344
419,Consumer,United States,Headphones,Medium,36,81,1090,39240,3924,35316,2916,32400,2/23/2024,2,February,2024,1090
420,Home Office,United States,Laptop,Low,45,59,1056,47520,2376,45144,2655,42489,2/24/2024,2,February,2024,1056
421,Corporate,United States,Smartphone,High,20,251,227,4540,908,3632,5020,-1388,2/25/2024,2,February,2024,227
422,Corporate,United States,Smartphone,Low,65,260,265,17225,861.25,16363.75,16900,-536.25,2/26/2024,2,February,2024,265
423,Home Office,United Kingdom,Monitor,Medium,8,159,362,2896,289.6,2606.4,1272,1334.4,2/27/2024,2,February,2024,362
424,Corporate,Germany,Tablet,Medium,16,211,428,6848,684.8,6163.2,3376,2787.2,2/28/2024,2,February,2024,428
425,Home Office,Germany,Headphones,Medium,14,173,460,6440,644,5796,2422,3374,2/29/2024,2,February,2024,460
426,Corporate,Italy,Laptop,High,76,274,648,49248,9849.6,39398.4,20824,18574.4,3/1/2024,3,March,2024,648
427,Home Office,France,Smartphone,Medium,87,136,623,54201,5420.1,48780.9,11832,36948.9,3/2/2024,3,March,2024,623
428,Home Office,Italy,Tablet,Low,15,104,659,9885,494.25,9390.75,1560,7830.75,3/3/2024,3,March,2024,659
429,Home Office,France,Headphones,Medium,92,269,1151,105892,10589.2,95302.8,24748,70554.8,3/4/2024,3,March,2024,1151
430,Corporate,France,Monitor,Medium,98,81,875,85750,8575,77175,7938,69237,3/5/2024,3,March,2024,875
431,Home Office,France,Monitor,Low,66,227,500,33000,1650,31350,14982,16368,3/6/2024,3,March,2024,500
432,Corporate,United States,Smartphone,High,32,184,1118,35776,7155.2,28620.8,5888,22732.8,3/7/2024,3,March,2024,1118
433,Corporate,Italy,Monitor,High,87,142,502,43674,8734.8,34939.2,12354,22585.2,3/8/2024,3,March,2024,502
434,Home Office,United States,Laptop,High,63,57,486,30618,6123.6,24494.4,3591,20903.4,3/9/2024,3,March,2024,486
435,Corporate,United Kingdom,Headphones,High,86,114,594,51084,10216.8,40867.2,9804,31063.2,3/10/2024,3,March,2024,594
436,Corporate,United Kingdom,Smartphone,Medium,51,106,209,10659,1065.9,9593.1,5406,4187.1,3/11/2024,3,March,2024,209
437,Consumer,Germany,Monitor,Medium,25,296,906,22650,2265,20385,7400,12985,3/12/2024,3,March,2024,906
438,Consumer,United States,Headphones,High,58,116,829,48082,9616.4,38465.6,6728,31737.6,3/13/2024,3,March,2024,829
439,Corporate,France,Monitor,Low,63,265,469,29547,1477.35,28069.65,16695,11374.65,3/14/2024,3,March,2024,469
440,Home Office,Germany,Tablet,Low,62,264,791,49042,2452.1,46589.9,16368,30221.9,3/15/2024,3,March,2024,791
441,Corporate,France,Tablet,Medium,22,236,1169,25718,2571.8,23146.2,5192,17954.2,3/16/2024,3,March,2024,1169
442,Home Office,United Kingdom,Tablet,High,58,121,804,46632,9326.4,37305.6,7018,30287.6,3/17/2024,3,March,2024,804
443,Home Office,United Kingdom,Monitor,High,58,103,977,56666,11333.2,45332.8,5974,39358.8,3/18/2024,3,March,2024,977
444,Home Office,United Kingdom,Smartphone,High,86,298,1043,89698,17939.6,71758.4,25628,46130.4,3/19/2024,3,March,2024,1043
445,Corporate,United States,Smartphone,Medium,49,288,1061,51989,5198.9,46790.1,14112,32678.1,3/20/2024,3,March,2024,1061
446,Home Office,France,Tablet,Medium,52,278,560,29120,2912,26208,14456,11752,3/21/2024,3,March,2024,560
447,Home Office,United States,Laptop,High,42,116,456,19152,3830.4,15321.6,4872,10449.6,3/22/2024,3,March,2024,456
448,Consumer,United Kingdom,Laptop,Low,70,100,332,23240,1162,22078,7000,15078,3/23/2024,3,March,2024,332
449,Consumer,United States,Smartphone,Medium,15,146,475,7125,712.5,6412.5,2190,4222.5,3/24/2024,3,March,2024,475
450,Corporate,Italy,Monitor,High,54,141,975,52650,10530,42120,7614,34506,3/25/2024,3,March,2024,975
451,Home Office,Germany,Monitor,Low,60,288,882,52920,2646,50274,17280,32994,3/26/2024,3,March,2024,882
452,Home Office,Germany,Monitor,High,97,57,1171,113587,22717.4,90869.6,5529,85340.6,3/27/2024,3,March,2024,1171
453,Corporate,Italy,Monitor,Low,8,211,712,5696,284.8,5411.2,1688,3723.2,3/28/2024,3,March,2024,712
454,Home Office,United Kingdom,Smartphone,Medium,53,84,512,27136,2713.6,24422.4,4452,19970.4,3/29/2024,3,March,2024,512
